Entity,Code,Year,Coal,Gas,Oil,Nuclear,Hydro,Other,Solar,Wind
Malta,MLT,2019,0,1.287,0.193,0,0,,0.155,0
Martinique,MTQ,2019,0,0,1.441,0,0,0.024,0,0.001
Mauritania,MRT,2019,0,0.315,0.349,0,0.243,0,0.177,0.104
Mauritius,MUS,2019,0.746,0,1.658,0,0.078,0.463,0.093,0.019
Mexico,MEX,2019,26.28,205.625,37.685,11.251,23.79,7.751,12.439,17.598
Moldova,MDA,2019,4.025,0.527,0,0,0.288,0.026,0.002,0.009
Mongolia,MNG,2019,5.401,0,0,0,0.058,0,0.036,0.361
Montenegro,MNE,2019,1.494,0,0,0,2.235,0,0,0.129
Montserrat,MSR,2019,0,0,0.026,0,0,0,0,0
Morocco,MAR,2019,13.866,8.148,3.802,0,1.263,0,1.581,4.699
Mozambique,MOZ,2019,0,0,2.03,0,12.882,0.061,0.002,0
Myanmar,MMR,2019,1.381,8.878,0,0,13.509,0.018,0.095,0
Namibia,NAM,2019,0.048,0,0.024,0,1.607,0,0,0.006
Nauru,NRU,2019,0,0,0.025,0,0,0,0,0
Nepal,NPL,2019,0,0,0,0,4.975,0,0.095,0.006
Netherlands,NLD,2019,17.414,71.01,1.363,3.91,0.074,5.633,5.189,11.458
New Caledonia,NCL,2019,0,0,2.725,0,0.367,0,0,0.039
New Zealand,NZL,2019,2.817,2.856,0.873,0,25.585,8.427,0.127,2.255
Nicaragua,NIC,2019,0,0.245,1.534,0,0.52,1.578,0.044,0.558
Niger,NER,2019,0.122,0,0.398,0,0,0,0.005,0
Nigeria,NGA,2019,0,25.086,0,0,5.409,0.026,0.027,0.003
Niue,NIU,2019,0,0,0,0,0,0,0,0
North America,,2019,1134.415,1975.752,61.786,963.747,676.926,96.9,125.113,354.873
North Korea,PRK,2019,4.516,0,0,0,12.408,0,0.015,0.001
North Macedonia,MKD,2019,3.431,0,0,0,1.164,0.055,0.023,0.102
Norway,NOR,2019,0,2.652,0,0,125.256,0.26,0.113,5.538
Oman,OMN,2019,0,35.013,0,0,0,0,0.004,0
Pakistan,PAK,2019,33.004,27.006,32.036,9.52,35.605,0.945,1.16,4.778
Palestine,PSE,2019,0,0,0.47,0,0,0.001,0,0
Panama,PAN,2019,0.617,0.823,1.349,0,8.303,0.031,0.203,0.513
Papua New Guinea,PNG,2019,0,1.113,2.163,0,0.719,0.04,0.002,0
Paraguay,PRY,2019,0,0,0,0,59.754,0.137,0,0
Peru,PER,2019,0.594,19.164,0,0,31.586,1.614,0.762,1.646
Philippines,PHL,2019,48.901,18.999,11.566,0,9.658,11.772,1.331,1.175
Poland,POL,2019,121.879,14.782,1.212,0,1.954,7.347,0.713,15.037
Portugal,PRT,2019,6.236,17.3,1.228,0,8.74,3.547,1.275,13.738
Puerto Rico,PRI,2019,3.017,6.035,6.035,0,0.048,0.015,0.181,0.119
Qatar,QAT,2019,0,44.093,0,0,0,0.115,0.008,0
Reunion,REU,2019,0,0,2.131,0,0.503,0.27,0.261,0.013
Romania,ROU,2019,13.397,9.3,0.71,11.28,15.433,0.545,1.734,6.744
Russia,RUS,2019,182.182,519.537,6.936,208.986,194.376,0.52,0.985,0.315
Rwanda,RWA,2019,0,0.226,0.17,0,0.339,0.002,0,0
Saint Helena,SHN,2019,0,0,0.007,0,0,0,0,0
Saint Kitts and Nevis,KNA,2019,0,0,0.186,0,0,0,0,0.008
Saint Lucia,LCA,2019,0,0,0.382,0,0,0,0.001,0
